region_id,region_name_en,region_name_ar,population,youth_5_24,pa_total_pct,pa_women_pct,pa_men_pct,gender_gap_pp,total_facilities,pitches,academies,clubs,stadiums,mean_google_rating,pitches_per_10k,facilities_per_10k,academies_per_10k_youth,women_halls,women_halls_per_100k,saff_accredited,saff_accreditation_rate_pct,estimated_inactive_women_18plus,n_academies,youth_under21
riyadh_region,Riyadh,الرياض,9426231,2728550,59.01,45.83,67.06,21.3,307,219,35,39,21,4.25,0.232,0.326,0.15058165150625472,502,5.33,2,2.7,1393377,35,2324320.3703703703
makkah_region,Makkah,مكة المكرمة,8524663,2601509,67.61,48.66,79.13,30.4,286,199,47,35,24,4.31,0.233,0.335,0.21208426741355982,265,3.11,2,2.4,1194276,47,2216100.2592592593
eastern_region,Eastern Region,المنطقة الشرقية,5623050,1625578,49.68,37.25,57.27,19.9,418,316,47,42,26,4.26,0.562,0.743,0.3394110466768021,187,3.33,3,3.4,962847,47,1384751.6296296297
jizan_region,Jizan,جازان,1541458,536713,57.81,42.18,67.35,25.1,135,101,12,19,4,4.21,0.655,0.876,0.2624672128630968,55,3.57,2,6.5,243210,12,457199.962962963
qassim_region,Qassim,القصيم,1465956,482741,54.8,40.83,63.32,22.5,157,115,19,19,4,4.24,0.784,1.071,0.4620354978360437,40,2.73,2,5.3,236698,19,411223.81481481483
madinah_region,Madinah,المدينة المنورة,2345637,761001,48.85,35.96,56.72,20.8,140,102,18,16,6,4.22,0.435,0.597,0.27766632084069137,28,1.19,0,0.0,409906,18,648260.1111111111
aseer_region,Aseer,عسير,2220896,735887,48.41,38.02,54.75,16.8,162,117,22,18,6,4.12,0.527,0.729,0.3509518031507791,28,1.26,0,0.0,375622,22,626866.7037037037
tabuk_region,Tabuk,تبوك,972093,331002,64.12,43.18,76.91,33.7,79,56,7,10,1,4.15,0.576,0.813,0.24825805597391634,23,2.37,1,5.9,150723,7,281964.6666666667
hail_region,Hail,حائل,818901,269973,60.51,42.43,71.55,29.2,77,56,9,10,2,4.21,0.684,0.94,0.39134348217430437,14,1.71,0,0.0,128647,9,229977.0
al-baha_region,Al-Baha,الباحة,372116,122794,45.94,34.73,52.78,18.1,57,44,0,7,4,4.11,1.182,1.532,0.0,11,2.96,0,0.0,66277,0,104602.29629629629
al-jouf_region,Al-Jouf,الجوف,653691,236948,52.91,36.25,63.08,26.8,53,38,3,7,1,4.14,0.581,0.811,0.14862919840786934,10,1.53,0,0.0,113717,3,201844.59259259258
najran_region,Najran,نجران,649827,227713,58.92,42.43,69.0,26.6,68,47,10,8,3,4.09,0.723,1.046,0.5155230678434085,8,1.23,2,11.1,102086,10,193977.74074074073
northern_borders_region,Northern Borders,الحدود الشمالية,409861,145805,62.27,41.89,74.71,32.8,58,44,4,10,0,4.1,1.074,1.415,0.3220501473826716,4,0.98,0,0.0,64992,4,124204.25925925926
